links001;;;;;;;;;;;;;;;
Date:;04.02.2008;;;;;;;;;;;;;;
Time:;16:29:01;;;;;;;;;;;;;;
Type:;;;;;;;;;;;;;;;
Description:;;;;;;;;;;;;;;;
Notes:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
120;Hz;;;;;;;;;;;;;;
;LUPA;;;LELB;;;LFRM;;;LSHO;;;LFIN;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33;719,411919;-1621,634007;1338,32072;810,827379;-1593,689916;1212,477153;821,429197;-1622,397713;1076,599254;563,776296;-1661,283029;1438,782578;809,115874;-1630,118221;931,291847
34;717,876285;-1621,272757;1339,942997;808,601788;-1594,777093;1213,798974;818,308894;-1624,548676;1077,846758;562,742153;-1659,236618;1441,755157;804,93599;-1633,124264;932,459795
35;716,308678;-1620,89842;1341,673165;806,478544;-1596,129288;1214,009308;815,190795;-1626,70743;1079,029578;561,750935;-1657,054386;1444,934567;800,790458;-1635,973387;933,737736
36;714,685761;-1620,504845;1343,248918;804,300791;-1597,411791;1214,605105;811,989538;-1628,71068;1080,124666;560,601175;-1654,679542;1447,851664;796,852071;-1638,634757;935,042328
37;713,053222;-1620,044506;1344,787676;802,030302;-1598,499557;1215,802012;808,758503;-1630,476361;1081,310969;559,326209;-1652,304883;1450,616732;792,994464;-1641,250434;936,427513
38;711,525078;-1619,589058;1346,82234;799,763709;-1599,521174;1216,966779;805,614175;-1632,216847;1082,666831;558,170278;-1649,959809;1453,464084;789,010067;-1643,779785;937,922322
39;710,062339;-1619,188402;1349,002854;797,497801;-1600,397075;1218,119358;802,461638;-1633,913757;1084,161454;557,144308;-1647,531023;1456,35366;784,833244;-1646,184442;939,523278
40;708,52115;-1618,697387;1350,994286;795,303105;-1601,23375;1219,271666;799,248889;-1635,543559;1085,637995;556,425198;-1645,375986;1459,554781;780,729426;-1648,536312;941,132326
41;706,941105;-1618,032172;1352,703473;793,104405;-1601,981516;1220,568155;796,075378;-1637,143495;1087,205803;555,826949;-1643,287765;1463,046801;776,763779;-1650,849176;942,7857
42;705,361614;-1617,276192;1354,384185;790,847297;-1602,540362;1221,844841;792,917961;-1638,598025;1088,85822;554,887638;-1640,679893;1466,341776;772,733459;-1652,992797;944,381014
43;703,803619;-1616,48188;1356,301206;788,602775;-1603,145336;1223,336284;789,74425;-1639,962816;1090,33722;553,913276;-1637,999231;1469,398002;768,751696;-1654,999377;946,101748
44;702,255612;-1615,59213;1358,1656;786,277918;-1603,765334;1224,895206;786,5688;-1641,124681;1091,874998;552,948372;-1635,391167;1472,361918;764,985124;-1656,96881;947,963742
45;700,597303;-1614,656134;1359,909;783,968722;-1604,217506;1226,24067;783,344857;-1642,093432;1093,589565;551,91431;-1632,769107;1475,395087;761,107376;-1658,619123;949,519311
46;698,911126;-1613,672704;1361,59959;781,7066;-1604,466683;1227,470017;780,17679;-1643,064478;1095,210547;551,018026;-1630,263248;1478,399352;757,087696;-1659,990809;951,141944
47;697,258806;-1612,535675;1363,322272;779,375381;-1604,518409;1228,632314;777,099869;-1643,945887;1096,577747;550,104864;-1627,635401;1481,197785;753,228863;-1661,408296;953,106062
48;695,51165;-1611,371672;1365,199203;777,092497;-1604,571218;1230,075486;773,976947;-1644,703288;1098,047028;549,041712;-1624,799016;1483,787423;749,380344;-1662,846002;954,865006
49;693,725068;-1610,190744;1366,957485;774,777008;-1604,613833;1231,58377;770,813248;-1645,278593;1099,580283;547,923621;-1621,751437;1486,091832;745,479103;-1664,136956;956,414069
50;692,060665;-1608,727704;1368,591559;772,252525;-1604,44404;1232,930153;767,780596;-1645,728841;1101,112698;546,764653;-1618,570658;1488,534781;741,664654;-1665,242104;958,138903
51;690,364154;-1606,974906;1370,392389;769,660647;-1604,070553;1234,202855;764,774137;-1646,100032;1102,923304;545,516148;-1615,439696;1491,358261;737,9273;-1666,208253;959,885201
52;688,481606;-1605,083552;1372,162839;767,12042;-1603,614818;1235,410746;761,589422;-1646,325484;1104,542762;544,253499;-1612,318275;1493,818033;734,297921;-1666,927552;961,635818
53;686,578063;-1603,136526;1373,822958;764,639324;-1603,061764;1236,662112;758,490506;-1646,479855;1106,14032;542,784443;-1609,048093;1495,837001;730,813516;-1667,491055;963,508618
54;684,653274;-1601,119516;1375,324188;762,073488;-1602,381302;1237,843546;755,555384;-1646,559575;1107,855104;541,016541;-1605,703443;1497,948886;727,372138;-1668,101066;965,377869
55;682,595104;-1599,005324;1376,739545;759,28502;-1601,609084;1238,854579;752,406441;-1646,491191;1109,279743;539,319807;-1602,348651;1500,041151;723,789443;-1668,470187;967,071196
56;680,345248;-1596,840576;1378,114568;756,389292;-1600,768828;1239,842955;749,262584;-1646,24691;1110,781122;537,87167;-1599,061489;1502,002171;720,20482;-1668,601544;968,558932
57;677,861155;-1594,607922;1379,290544;753,39695;-1599,860488;1240,990575;746,248735;-1645,794305;1112,231007;536,273569;-1595,70612;1503,465575;716,734527;-1668,69053;970,097206
58;675,283275;-1592,310638;1380,549849;750,253263;-1598,821612;1242,200387;742,968773;-1645,244394;1113,492153;533,929253;-1592,020068;1504,593678;713,289017;-1668,566028;971,556569
59;672,663147;-1590,081621;1381,761809;747,036585;-1597,702704;1243,288723;739,496807;-1644,575763;1114,674446;531,271853;-1588,366697;1506,152421;709,921527;-1668,430302;972,759573
60;669,836187;-1587,922485;1382,704458;743,717745;-1596,53972;1244,225719;735,888155;-1643,724044;1115,679153;528,726683;-1584,827305;1507,740575;705,935402;-1668,03729;973,564367
61;666,707539;-1585,604985;1383,482498;740,247556;-1595,180736;1245,144664;732,275768;-1642,808761;1116,839231;525,800731;-1581,096203;1508,974695;701,768935;-1667,319145;974,344079
62;663,325311;-1583,031323;1384,149068;736,559361;-1593,667794;1245,788296;728,751916;-1641,809335;1117,84747;522,610267;-1577,251966;1510,094241;698,594909;-1666,8555;975,843389
63;659,764362;-1580,48106;1384,949761;732,506324;-1592,162137;1246,293416;724,897989;-1640,66953;1118,522053;519,464813;-1573,442342;1511,156428;695,370826;-1666,311705;977,219679
64;656,064618;-1578,088314;1385,758418;728,174566;-1590,559144;1247,129558;720,642945;-1639,423595;1119,30161;514,372395;-1569,535965;1511,750443;691,622552;-1665,433537;978,010534
65;652,16294;-1575,583965;1386,313606;723,692594;-1588,768103;1248,032125;716,263871;-1638,078438;1120,154835;510,434187;-1565,56012;1512,888093;687,799887;-1664,418747;978,757244
66;647,947669;-1572,893147;1386,718772;719,036471;-1586,828249;1248,651682;711,941693;-1636,603645;1121,062864;506,879985;-1561,507709;1514,02128;683,79769;-1663,248743;979,362068
67;643,507662;-1570,147141;1387,198103;714,17345;-1584,767393;1248,915328;707,597309;-1634,990163;1121,870565;503,03662;-1557,291499;1515,036371;679,62793;-1661,819417;979,866937
68;638,959826;-1567,395034;1387,6972;709,152138;-1582,664831;1249,194367;702,948361;-1633,237526;1122,437108;498,804662;-1552,82117;1516,078744;675,422995;-1660,20933;980,51184
69;634,205812;-1564,538256;1387,964692;704,008548;-1580,536007;1249,602623;697,978176;-1631,307437;1122,948459;494,347482;-1548,323748;1516,835589;671,186304;-1658,61377;981,241214
